city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Trujillo,4257,Peru,auto_econom,1538094,1959613,0.853,1.292,0.785
Arequipa,4258,Peru,auto_econom,1052725,1334568,0.849,1.309,0.789
Boa Vista,4148,Brazil,auto_econom,337880,455269,0.838,1.374,0.742
Lima,4199,Peru,auto_econom,7325577,10568787,0.806,1.267,0.693
Chiclayo,4272,Peru,auto_econom,332910,493308,0.772,1.248,0.675
Barranquilla,4243,Colombia,auto_econom,1314977,2048987,0.765,1.257,0.642
Уральск,238,Казахстан,auto_econom_wheelchair,395210,615839,0.764,1.3,0.642
Экибастуз,263,Казахстан,auto_econom,219312,304869,0.745,1.289,0.719
Bucaramanga,4253,Colombia,auto_econom,753446,1229068,0.736,1.245,0.613
Santa Cruz de la Sierra,5512,Bolivia,auto_econom,611960,935217,0.736,1.236,0.654
Santo Domingo,4825,Dominican Republic,auto_econom,722640,1243514,0.729,1.316,0.581
Antofagasta,4263,Chile,auto_econom,368911,621937,0.729,1.294,0.593
Семей,228,Казахстан,auto_econom,288247,461681,0.729,1.25,0.624
Hermosillo,4236,Mexico,auto_econom,569814,919069,0.721,1.218,0.62
Кызылорда,257,Казахстан,auto_econom,248292,398135,0.72,1.257,0.624
Bogota,4197,Colombia,auto_econom,1077930,1944271,0.72,1.253,0.554
Islamabad / Rawalpindi,5448,Pakistan,city_contractor_comfort_level_ride_mini,1083468,1971071,0.719,1.214,0.55
Piura,4275,Peru,auto_econom,178966,310575,0.708,1.248,0.576
Tepic,4241,Mexico,auto_econom,473847,816788,0.695,1.204,0.58
Medellin,4242,Colombia,auto_econom,1440508,2688980,0.693,1.235,0.536
Lahore,5388,Pakistan,Rickshaw,697299,1270141,0.692,1.221,0.549
Kathmandu,5957,Nepal,auto_econom,550716,884843,0.692,1.174,0.622
Тараз,235,Казахстан,auto_econom,180914,304752,0.684,1.246,0.594
Cartagena,4244,Colombia,auto_econom_nocomment,440887,764442,0.683,1.207,0.577
Puerto Vallarta,4515,Mexico,auto_econom,438593,816420,0.675,1.205,0.537
Cochabamba,5504,Bolivia,auto_econom,343382,595303,0.673,1.228,0.577
Kathmandu,5957,Nepal,moto_econom,2505440,3803834,0.673,1.182,0.659
Атырау,221,Казахстан,auto_econom,294190,529153,0.667,1.223,0.556
Alexandria (الإسكندرية),9415,Egypt,auto_econom,219923,423845,0.666,1.247,0.519
Караганда,242,Казахстан,auto_econom_karaganda,398685,683237,0.663,1.244,0.584
Calama,5568,Chile,auto_econom,224872,329790,0.663,1.225,0.682
Santo Domingo,4825,Dominican Republic,moto_econom,461045,733763,0.662,1.321,0.628
Lahore,5388,Pakistan,city_contractor_comfort_level_ride_mini,755240,1567536,0.661,1.191,0.482
Saltillo,4193,Mexico,auto_econom,745156,1403203,0.649,1.192,0.531
Islamabad / Rawalpindi,5448,Pakistan,moto_econom,621846,1233961,0.647,1.207,0.504
Merida,4194,Mexico,auto_econom,567619,1102674,0.645,1.188,0.515
Quito,4404,Ecuador,auto_econom,693221,1440053,0.643,1.246,0.481
San Salvador,4195,El Salvador,auto_econom,417466,909162,0.642,1.301,0.459
Cucuta,4196,Colombia,auto_econom,174939,368734,0.629,1.226,0.474
Guatemala City,4198,Guatemala,auto_econom,267357,519413,0.627,1.198,0.515
Актобе,213,Казахстан,auto_econom,299527,592490,0.626,1.219,0.506
Guatemala City,4198,Guatemala,moto_econom,653144,1244424,0.625,1.214,0.525
Lahore,5388,Pakistan,moto_econom,1279853,2648862,0.622,1.207,0.483
Актау,258,Казахстан,auto_econom,305019,586766,0.619,1.221,0.52
Mazatlan,4240,Mexico,auto_econom,195907,403063,0.618,1.18,0.486
Karachi,5396,Pakistan,Rickshaw,305779,515686,0.618,1.14,0.593
Cali,4255,Colombia,auto_econom,178001,370952,0.616,1.24,0.48
Pereira,4252,Colombia,auto_econom,231860,509799,0.616,1.217,0.455
Karachi,5396,Pakistan,city_contractor_comfort_level_ride_mini,378185,626922,0.616,1.127,0.603
Manado,5640,Indonesia,moto_econom,747776,963125,0.608,1.235,0.776
Manaus,4524,Brazil,auto_econom,166686,374669,0.607,1.252,0.445
Guayaquil,4385,Ecuador,auto_econom,417296,940613,0.606,1.218,0.444
