city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
San Andrés de Cuerquia,23020,Colombia,auto_econom,0,1,0,,0
Dom Eliseu,21797,Brazil,auto_econom,0,1,0,,0
Sombrerete,6070,Mexico,auto_econom,0,1,0,,0
Yuriria,24781,Mexico,auto_econom,0,1,0,,0
Gokarneshwar,5962,Nepal,moto_econom,1,1,1,1.17,1
Rio Tinto,22340,Brazil,auto_econom,0,1,0,,0
Aguadas,23302,Colombia,auto_econom,0,1,0,,0
Pedra Branca,22224,Brazil,auto_econom,0,1,0,,0
Medeiros Neto,32292,Brazil,auto_econom,0,1,0,,0
Bom Jesus da Lapa,21615,Brazil,auto_econom,0,1,0,,0
Videira,22579,Brazil,auto_econom,0,1,0,,0
Oporapa,22997,Colombia,auto_econom,0,1,0,,0
Chucandiro,24256,Mexico,auto_econom,0,1,0,,0
Tecomatlan,24271,Mexico,auto_econom,0,1,0,,0
Tlapehuala,25025,Mexico,auto_econom,0,1,0,,0
Santa Elena,24163,Mexico,auto_econom,0,1,0,,0
Itapira,21954,Brazil,auto_econom,0,1,0,,0
Tecoman,5307,Mexico,auto_econom,0,1,0,,0
Camapuã,32510,Brazil,auto_econom,0,1,0,,0
Mistrató,23084,Colombia,auto_econom,0,1,0,,0
Capela do Alto,32459,Brazil,auto_econom,0,1,0,,0
Curvelo,21789,Brazil,auto_econom,0,1,0,,0
Santo Domingo Tehuantepec,24917,Mexico,auto_econom,0,1,0,,0
Sarkaghat,21282,India,moto_econom,1,1,0.667,1.08,1
Pedro Meoqui,24754,Mexico,auto_econom,0,1,0,,0
Porto Alegre,4755,Brazil,intercity3,0,1,0,,0
Etzatlan,24665,Mexico,auto_econom,0,1,0,,0
Campo Novo do Parecis,21677,Brazil,auto_econom,0,1,0,,0
Contratación,22713,Colombia,auto_econom,0,1,0,,0
Paraibano,32440,Brazil,auto_econom,0,1,0,,0
Papalotla,43274,Mexico,auto_econom,0,1,0,,0
Tarimoro,24514,Mexico,auto_econom,0,1,0,,0
Tepatlaxco de Hidalgo,24634,Mexico,auto_econom,0,1,0,,0
